Ranking,Seed,Name,Weight
1,1,Gonzaga,37.94
2,9,Michigan,32.12
3,17,Illinois,32
4,25,Baylor,30.78
5,2,Iowa,30.24
6,10,Houston,29.13
7,18,Ohio St.,26.71
8,26,Alabama,26.45
9,3,Loyola Chicago,25.08
10,11,Virginia,23.99
11,19,Wisconsin,23.99
12,27,Florida St.,23.97
13,4,Villanova,23.96
14,12,Purdue,23.6
15,20,USC,23.58
16,28,Colorado,23.53
17,5,Connecticut,23.25
18,13,Arkansas,22.8
19,21,Creighton,22.65
20,29,San Diego St. ,22.57
21,6,Tennessee,22.44
22,14,Kansas,22.33
23,22,BYU,22.22
24,30,Texas Tech,22.14
25,7,Texas,21.87
26,15,West Virginia,21.62
27,23,North Carolina,21.48
28,31,St. Bonaventure,21.27
29,8,LSU,20.78
30,16,Maryland,20.05
31,24,Oklahoma St.,20.04
32,32,Duke,19.5
